Declined Noun	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
acus:nomsg	f,IV,nom,sg	m,II,nom,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
acus:gensg	f,IV,gen,sg	m,II,nom,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
acus:accsg	f,IV,acc,sg	m,II,nom,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
acus:nompl	f,IV,nom,pl	m,II,nom,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
acus:genpl	f,IV,gen,pl	m,III,gen,pl	m,III,gen,sg	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	f,II,gen,sg	m,III,gen,pl	m,III,gen,pl
acus:accpl	f,IV,acc,pl	m,II,nom,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
ador:nomsg	n,III,nom,sg	f,III,gen,sg	f,III,gen,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
ador:gensg	n,III,gen,sg	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl
ador:accsg	n,III,acc,sg	f,III,gen,sg	f,III,gen,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
ador:nompl	n,III,nom,pl	m,III,gen,pl	m,III,gen,sg	m,III,gen,sg	m,II,gen,sg	m,III,gen,pl	f,II,gen,sg	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,II,gen,sg	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl
ador:genpl	n,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl
ador:accpl	n,III,acc,pl	m,III,gen,pl	m,III,gen,sg	m,III,gen,sg	m,II,gen,sg	m,III,gen,pl	f,II,gen,sg	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,II,gen,sg	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl
adulter:nomsg	m,II,nom,sg	m,II,nom,sg	m,IV,nom,sg	m,II,gen,sg	m,II,gen,sg	m,III,gen,sg	f,I,gen,sg	m,III,gen,pl	f,II,gen,sg	f,II,gen,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
adulter:gensg	m,II,gen,sg	m,II,nom,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	f,I,gen,sg	f,I,gen,sg	f,I,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
adulter:accsg	m,II,acc,sg	m,II,nom,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	f,I,gen,sg	f,I,gen,sg	f,I,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
adulter:nompl	m,II,nom,pl	m,II,nom,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	f,I,gen,sg	f,I,gen,sg	f,I,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
adulter:genpl	m,II,gen,pl	m,II,gen,sg	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	m,III,gen,pl	f,II,gen,sg
adulter:accpl	m,II,acc,pl	m,II,nom,sg	m,II,gen,sg	m,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
adulter2:nomsg	f,II,nom,sg	f,I,nom,sg	f,I,gen,sg	f,I,gen,sg	f,II,gen,sg	f,I,gen,sg	f,I,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	m,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
adulter2:gensg	f,II,gen,sg	f,I,nom,sg	f,I,gen,sg	f,I,gen,sg	m,II,gen,sg	m,III,gen,sg	f,I,gen,sg	f,II,gen,sg	m,III,gen,pl	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
adulter2:accsg	f,II,acc,sg	f,I,nom,sg	f,I,gen,sg	f,I,gen,sg	m,II,gen,sg	f,I,gen,sg	f,I,gen,sg	f,I,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg	f,II,gen,sg
